image,agriculture,clear,cloudy,primary,road,shifting,water,partly_cloudy,haze,habitation,slash_burn,cultivation,blooming,bare_ground,selective_logging,conventional_mine,artisinal_mine,blow_down
train_38,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_39,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_40,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
train_41,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_42,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_43,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
train_44,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_45,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_46,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
train_47,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_48,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_49,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_51,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_52,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
train_53,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_54,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_55,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
train_56,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_57,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
train_58,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_59,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_60,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
train_61,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_62,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_63,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_64,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_65,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_66,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_67,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_69,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_70,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
train_71,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_73,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_74,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_75,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_76,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_78,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_79,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
train_80,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_81,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_82,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
train_83,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_84,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_85,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_86,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_88,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_89,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_90,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_91,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_92,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_93,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_94,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_95,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_98,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_99,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_100,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
train_101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_102,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_103,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
train_104,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
train_105,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_106,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_107,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_109,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_110,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_112,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_113,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_114,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_115,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_116,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_117,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_119,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_120,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_121,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
train_122,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_123,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
train_124,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_125,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_126,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_127,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_128,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_129,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_130,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_131,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_132,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
train_133,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
train_134,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_135,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_136,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
train_137,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_138,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_139,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_140,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_141,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
train_142,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_143,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
train_144,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_145,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_146,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
train_147,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_148,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
train_149,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_150,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_151,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
train_152,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
train_153,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_154,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_155,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_156,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_157,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_158,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_159,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_160,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_161,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_162,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_163,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_164,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_165,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_166,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
train_167,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
train_168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_169,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_170,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_171,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_172,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_173,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
train_174,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_175,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_176,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_177,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_178,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_179,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_180,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
train_181,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_182,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_183,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_184,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_185,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
train_186,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_187,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
train_188,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_189,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_190,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_191,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_192,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_193,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_194,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_195,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_196,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
train_197,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_198,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_199,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
train_200,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_201,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_202,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_203,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_204,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_205,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
train_206,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_207,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
train_208,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_209,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_210,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_211,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_212,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_213,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_214,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_215,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
train_216,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_217,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_218,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
train_219,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_220,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_221,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_222,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0
train_223,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_224,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_225,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
train_226,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_227,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
train_228,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
train_229,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
train_230,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0
train_231,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_232,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_233,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_234,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_235,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_236,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_237,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
train_238,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_239,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
train_240,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_241,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
train_242,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_243,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_244,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_245,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
train_246,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_247,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
train_248,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
train_249,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_250,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_251,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_252,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
train_253,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_254,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_255,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_256,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
train_257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_258,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_259,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_260,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_261,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_262,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
train_263,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_264,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_265,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_266,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
train_267,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_268,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_269,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_270,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_271,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_272,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_273,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_274,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
train_275,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_276,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_277,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_278,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_279,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
train_280,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_281,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_282,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_283,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
train_284,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_285,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_286,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
train_287,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_288,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_289,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_290,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_291,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_292,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_293,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_294,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_295,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_296,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_297,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
train_298,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
train_299,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_300,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_301,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_302,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_303,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_304,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_305,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_306,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_307,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_308,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
train_309,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_310,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_311,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_312,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_313,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_314,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_315,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
train_316,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_317,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_318,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_319,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
train_320,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_321,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_322,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_323,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_324,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_325,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
train_326,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_327,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_328,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_329,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_330,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_331,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_332,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
train_333,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_334,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
train_335,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_336,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_337,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_338,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_339,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_340,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
train_341,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
train_342,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_344,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
